"R0","vaccination","month","primary_cases_timing","variable","monthly_clinical_attack_rate","monthly_clinical_cases"
2.8,"LAIV",2,"30-90-1","not_vaccinated",23.4225103544226,21228.5238095238
2.8,"LAIV",3,"30-90-1","not_vaccinated",0.238376329866185,216.047619047619
2.8,"TIV",1,"30-90-1","not_vaccinated",4.98026315443812,4513.7619047619
2.8,"TIV",2,"30-90-1","not_vaccinated",22.5970462771628,20480.380952381
2.8,"TIV",3,"30-90-1","not_vaccinated",0.0482847359812704,43.7619047619048
2.8,"LAIV",2,"60-120-1","not_vaccinated",2.46136564365024,2230.80952380952
2.8,"LAIV",3,"60-120-1","not_vaccinated",23.9658843908951,21721
2.8,"LAIV",4,"60-120-1","not_vaccinated",0.164451821133162,149.047619047619
2.8,"TIV",2,"60-120-1","not_vaccinated",8.99162661765687,8149.38095238095
2.8,"TIV",3,"60-120-1","not_vaccinated",18.5542635842196,16816.2857142857
2.8,"TIV",4,"60-120-1","not_vaccinated",0.0510168429138341,46.2380952380952
2.8,"LAIV",4,"30-90-1","not_vaccinated",0.00137918859576534,1.25
2.8,"LAIV",5,"60-120-1","not_vaccinated",0.000827513157459204,0.75
2.8,"TIV",4,"30-90-1","not_vaccinated",0.00110335087661227,1
3.2,"LAIV",1,"30-90-1","not_vaccinated",6.84161608328303,6200.7619047619
3.2,"LAIV",2,"30-90-1","not_vaccinated",20.8430336264569,18890.6666666667
3.2,"LAIV",3,"30-90-1","not_vaccinated",0.0557454895278867,50.5238095238095
3.2,"TIV",1,"30-90-1","not_vaccinated",13.6288001899865,12352.1904761905
3.2,"TIV",2,"30-90-1","not_vaccinated",14.8984943463776,13502.9523809524
3.2,"TIV",3,"30-90-1","not_vaccinated",0.0214365313170384,19.4285714285714
3.2,"LAIV",2,"60-120-1","not_vaccinated",8.50788606903929,7710.95238095238
3.2,"LAIV",3,"60-120-1","not_vaccinated",19.1871666632515,17389.9047619048
3.2,"LAIV",4,"60-120-1","not_vaccinated",0.0189145864562104,17.1428571428571
3.2,"TIV",2,"60-120-1","not_vaccinated",15.5018696543307,14049.8095238095
3.2,"TIV",3,"60-120-1","not_vaccinated",13.013025319801,11794.0952380952
3.2,"TIV",4,"60-120-1","not_vaccinated",0.00441340350644909,4
1.8,"TIV",5,"30-90-1","not_vaccinated",0.00514897075752393,4.66666666666667
1.8,"TIV",6,"60-120-1","not_vaccinated",0.00110335087661227,1
