age_months,age_years,count
228,19.0,1038.0
229,19.0833,1038.0
230,19.1667,1038.0
231,19.25,1038.0
232,19.3333,1038.0
233,19.4167,1038.0
234,19.5,1038.0
235,19.5833,1038.0
236,19.6667,1038.0
237,19.75,1038.0
238,19.8333,1038.0
239,19.9167,1038.0
240,20.0,579.75
241,20.0833,579.75
242,20.1667,579.75
243,20.25,579.75
244,20.3333,579.75
245,20.4167,579.75
246,20.5,579.75
247,20.5833,579.75
248,20.6667,579.75
249,20.75,579.75
250,20.8333,579.75
251,20.9167,579.75
252,21.0,620.75
253,21.0833,620.75
254,21.1667,620.75
255,21.25,620.75
256,21.3333,620.75
257,21.4167,620.75
258,21.5,620.75
259,21.5833,620.75
260,21.6667,620.75
261,21.75,620.75
262,21.8333,620.75
263,21.9167,620.75
264,22.0,664.9166666666666
265,22.0833,664.9166666666666
266,22.1667,664.9166666666666
267,22.25,664.9166666666666
268,22.3333,664.9166666666666
269,22.4167,664.9166666666666
270,22.5,664.9166666666666
271,22.5833,664.9166666666666
272,22.6667,664.9166666666666
273,22.75,664.9166666666666
274,22.8333,664.9166666666666
275,22.9167,664.9166666666666
276,23.0,786.6666666666666
277,23.0833,786.6666666666666
278,23.1667,786.6666666666666
279,23.25,786.6666666666666
280,23.3333,786.6666666666666
281,23.4167,786.6666666666666
282,23.5,786.6666666666666
283,23.5833,786.6666666666666
284,23.6667,786.6666666666666
285,23.75,786.6666666666666
286,23.8333,786.6666666666666
287,23.9167,786.6666666666666
288,24.0,814.5833333333334
289,24.0833,814.5833333333334
290,24.1667,814.5833333333334
291,24.25,814.5833333333334
292,24.3333,814.5833333333334
293,24.4167,814.5833333333334
294,24.5,814.5833333333334
295,24.5833,814.5833333333334
296,24.6667,814.5833333333334
297,24.75,814.5833333333334
298,24.8333,814.5833333333334
299,24.9167,814.5833333333334
300,25.0,814.25
301,25.0833,814.25
302,25.1667,814.25
303,25.25,814.25
304,25.3333,814.25
305,25.4167,814.25
306,25.5,814.25
307,25.5833,814.25
308,25.6667,814.25
309,25.75,814.25
310,25.8333,814.25
311,25.9167,814.25
312,26.0,773.6666666666666
313,26.0833,773.6666666666666
314,26.1667,773.6666666666666
315,26.25,773.6666666666666
316,26.3333,773.6666666666666
317,26.4167,773.6666666666666
318,26.5,773.6666666666666
319,26.5833,773.6666666666666
320,26.6667,773.6666666666666
321,26.75,773.6666666666666
322,26.8333,773.6666666666666
323,26.9167,773.6666666666666
324,27.0,863.4166666666666
325,27.0833,863.4166666666666
326,27.1667,863.4166666666666
327,27.25,863.4166666666666
328,27.3333,863.4166666666666
329,27.4167,863.4166666666666
330,27.5,863.4166666666666
331,27.5833,863.4166666666666
332,27.6667,863.4166666666666
333,27.75,863.4166666666666
334,27.8333,863.4166666666666
335,27.9167,863.4166666666666
