,IIV HD,IIV ID,IIV IM,LAIV,age_group,base_overall_coverage,choice,exp_id,multiplier,overall_coverage
91,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,13,0.0325,0.7053750000000001
92,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,13,0.0325,0.453
93,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,13,0.0325,0.634375
94,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,13,0.0325,0.65
95,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,13,0.0325,0.5533750000000001
96,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,13,0.0325,0.704
97,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,13,0.0325,0.35550000000000004
98,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,14,0.0325,0.7053750000000001
99,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,14,0.0325,0.453
100,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,14,0.0325,0.634375
101,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,14,0.0325,0.65
102,0.0,0.0,0.45885701377908283,0.5411429862209172,"[9,18)",0.529,LAIV,14,0.0325,0.5533750000000001
103,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,14,0.0325,0.704
104,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,14,0.0325,0.323
105,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,15,0.0325,0.7053750000000001
106,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,15,0.0325,0.453
107,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,15,0.0325,0.634375
108,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,15,0.0325,0.65
109,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,15,0.0325,0.529
110,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,15,0.0325,0.704
111,0.0,0.11867791842475406,0.8813220815752459,0.0,"[18,50)",0.323,IIV ID,15,0.0325,0.35550000000000004
112,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,16,0.0325,0.7053750000000001
113,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,16,0.0325,0.453
114,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,16,0.0325,0.634375
115,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,16,0.0325,0.65
116,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,16,0.0325,0.529
117,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,16,0.0325,0.704
118,0.0,0.0,0.8813220815752459,0.11867791842475406,"[18,50)",0.323,LAIV,16,0.0325,0.35550000000000004
119,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,17,0.0325,0.7053750000000001
120,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,17,0.0325,0.453
121,0.0,0.0,0.46155665024630543,0.5384433497536946,"[5,9)",0.61,LAIV,17,0.0325,0.634375
122,0.33,0.0,0.67,0.0,"[65,106)",0.65,BASE,17,0.0325,0.65
123,0.0,0.0,0.48,0.52,"[9,18)",0.529,BASE,17,0.0325,0.529
124,0.0,0.0,0.704,0.0,"[0.5,2)",0.704,BASE,17,0.0325,0.704
125,0.0,0.01,0.97,0.02,"[18,50)",0.323,BASE,17,0.0325,0.323
126,0.0,0.0,0.4634130781499202,0.5365869218500798,"[2,5)",0.681,LAIV,18,0.0325,0.7053750000000001
127,0.0,0.01,0.99,0.0,"[50,65)",0.453,BASE,18,0.0325,0.453
128,0.0,0.0,0.48,0.52,"[5,9)",0.61,BASE,18,0.0325,0.61
